architecture,budget_nominal,budget_actual,n_success,fit_failures,T1_r2,T2_r2,dw_r2,eps_r2
superconducting,7650,7650,100,0,0.9320557473090906,0.9666056933146484,0.991234855023158,0.9478395302399564
superconducting,7700,7701,100,0,0.9525064008609799,0.946645179937411,0.9902017289839714,0.941180022409536
superconducting,7750,7749,100,0,0.9156572584033111,0.9647469984758925,0.9892837832026268,0.9599922952005352
superconducting,7800,7800,100,0,0.9469028621660349,0.9668883110536197,0.9924693251102815,0.9524614146307203
superconducting,7850,7848,100,0,0.9315355585117407,0.9545007454373622,0.9904569782984503,0.9638069058301995
superconducting,7900,7899,100,0,0.931087939965969,0.9550511645255404,0.9893347623462045,0.9578123462822987
superconducting,7950,7953,100,0,0.9393629577646939,0.9688670840253083,0.9910249641804254,0.953354579258802
superconducting,8000,7998,100,0,0.9367119201294986,0.9630267355555362,0.9912066426806181,0.9544243434843817
superconducting,8050,8052,100,0,0.9189894353706162,0.9598598359138357,0.9930451174908121,0.9605768453482425
superconducting,8100,8097,100,0,0.9432436280834328,0.9601298546641074,0.9930130217143742,0.9588501486427312
superconducting,8150,8151,100,0,0.9223128059497264,0.9651744183323461,0.9938532326747488,0.9555205576007106
superconducting,8200,8196,100,0,0.9253013707227968,0.9659581226047166,0.991626550012984,0.9614953782308537
superconducting,8250,8250,100,0,0.9534263585397978,0.965191610127041,0.9904626283464075,0.9554538580738392
superconducting,8300,8298,100,0,0.934255032744022,0.9674168874243925,0.9898519102710444,0.9587647028016258
superconducting,8350,8349,100,0,0.9349191499451931,0.9591112282289167,0.9918278822878523,0.9478440727620083
superconducting,8400,8397,100,0,0.9429895179402478,0.9637047561420516,0.9913452880342155,0.9599895046073708
superconducting,8450,8454,100,0,0.9361567258034243,0.9626316408684379,0.98938673262878,0.9577351730612305
superconducting,8500,8502,100,0,0.940101368367948,0.9694751480118806,0.9924251902948814,0.9559690340477615
superconducting,8550,8553,100,0,0.9467996293966545,0.9715452781043042,0.9925420047800962,0.9599247207350349
superconducting,8600,8601,100,0,0.9507246721935377,0.9703456293374032,0.9895278109288157,0.9375132919304845
superconducting,8650,8652,100,0,0.9380506743924153,0.9694905467869295,0.98859244739895,0.9568934764769688
superconducting,8700,8700,100,0,0.940822870309788,0.9687328173552752,0.9916530842468331,0.9618025647893004
superconducting,8750,8751,100,0,0.9305078828635988,0.971061573953171,0.9899189936508762,0.9394378028504563
superconducting,8800,8799,100,0,0.9380708294283016,0.961175783847699,0.9926098693536928,0.943600973676029
superconducting,8850,8850,100,0,0.9462402171009138,0.9677325463645721,0.993376781321344,0.9544980229608856
superconducting,8900,8898,100,0,0.9446650226575889,0.9713289168875296,0.9917114303621213,0.9642153481948331
superconducting,8950,8949,100,0,0.9429031008348703,0.9722474929278418,0.9914949879485225,0.9603028121410025
superconducting,9000,9003,100,0,0.9535423166930361,0.974857742768487,0.989710368438991,0.9548569130874442
superconducting,9050,9048,100,0,0.9122152033412407,0.9663195412582606,0.9919475562573317,0.9659795180368409
superconducting,9100,9102,100,0,0.9426775104275528,0.9682746794976008,0.9927537087215031,0.9588606928609843
superconducting,9150,9147,100,0,0.9593873267439925,0.9621536769943648,0.9917295254611332,0.9547576827746144
superconducting,9200,9201,100,0,0.9406825435381239,0.9627062632232999,0.9926469844258491,0.9600739867031202
superconducting,9250,9246,100,0,0.9548829299893332,0.9723558012618967,0.9927928331424893,0.9678879631834476
superconducting,9300,9300,100,0,0.948144231959286,0.9653365515312482,0.9914204758772572,0.9553874940951662
superconducting,9350,9345,100,0,0.9603465498182235,0.9640997589186532,0.9916257380713012,0.9421898631947091
superconducting,9400,9399,100,0,0.9517574934160916,0.9639128253915196,0.9908582825662742,0.9539239775586598
superconducting,9450,9450,100,0,0.9355173378711432,0.9759883239577827,0.9921231011908026,0.961309874003883
superconducting,9500,9504,100,0,0.9397739242654851,0.9711779651320855,0.992753485304928,0.9564733712416178
superconducting,9550,9549,100,0,0.9384102475632189,0.9639946496448815,0.9931458788566437,0.9676011760529194
superconducting,9600,9603,100,0,0.9594616224606538,0.9711206238049548,0.9939508744360205,0.9655610190868366
superconducting,9650,9648,100,0,0.9470783170836948,0.9721220964968638,0.9939485894116614,0.961799157837439
superconducting,9700,9702,100,0,0.9343706812731661,0.9642120716839115,0.9933015096951592,0.9545990552762517
superconducting,9750,9747,100,0,0.9497496646036943,0.974849116927176,0.9909378909065354,0.9565420123031733
superconducting,9800,9801,100,0,0.9591316719229761,0.9734586035080409,0.9933580783956716,0.965823923068851
superconducting,9850,9846,100,0,0.9504899279845912,0.9667317947358537,0.9941173383526937,0.9600652329524015
superconducting,9900,9900,100,0,0.9534111639675127,0.9796016027514575,0.9920182680832411,0.9631242111084596
superconducting,9950,9954,100,0,0.9437159730762621,0.9729002386258537,0.9935644384676602,0.9607343063465739
superconducting,10000,9999,100,0,0.937103860479923,0.9780472030665313,0.9933816350162842,0.9695394279612495
superconducting,10050,10053,100,0,0.9469355502890018,0.9664075538137533,0.9923566441082105,0.9591107933334239
superconducting,10100,10098,100,0,0.9444278650082106,0.9657381051910804,0.9929585956056496,0.9657771869872032
superconducting,10150,10152,100,0,0.957425256621169,0.9693048487762543,0.9946788125069385,0.9586966737628142
superconducting,10200,10197,100,0,0.960924629826392,0.976036754081379,0.9937684376777619,0.9614090442207891
superconducting,10250,10251,100,0,0.9407525677460696,0.9661787880429631,0.9928342582601603,0.9722784302727246
superconducting,10300,10296,100,0,0.959644691037182,0.9717522694603393,0.9940135075667541,0.9697030980905224
superconducting,10350,10350,100,0,0.9354452471505581,0.9674449736373013,0.9913704134476659,0.9703682400114964
superconducting,10400,10401,100,0,0.9493471081595514,0.9777810012055437,0.9927049440401018,0.9709198425403974
superconducting,10450,10455,100,0,0.9365725842641199,0.9738688990449279,0.9933292007995217,0.9639692679142426
superconducting,10500,10500,100,0,0.9472997856583585,0.9728468001896967,0.9947372592370882,0.9581689896457067
superconducting,10550,10554,100,0,0.9513052758014572,0.9703212401052755,0.9938116951941689,0.9736126315483242
superconducting,10600,10599,100,0,0.9505206312072148,0.9690663168386763,0.994343801508008,0.9564430047255944
superconducting,10650,10653,100,0,0.9449443261483422,0.9757635608043381,0.9932989275622045,0.9754620356198592
