backend_name,qubit_id,timestamp,architecture,T1_s,T1_sigma_s,T2_s,T2_sigma_s,delta_omega,delta_omega_sigma,epsilon_sx,epsilon_sx_sigma,p1_t1,p1_ramsey,p0_gate,t1_delays_s,ramsey_delays_s,gate_rep_N,t1_residual,ramsey_residual,gate_residual
aer_ideal,2,2026-07-12 18:44:11 UTC,trapped_ion,999.9999999,1385.3302571908464,215.99998506266957,1330.8160398146874,-62831.85307179586,0.20573450609961108,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.99999999705768, 399.9999999764614, 1499.9999999117304]","[1.4399999205534866, 7.199999602767433, 35.999998013837164]","[5.0, 10.0, 20.0]",0.7145941891803465,0.0066928271494443034,7.491367606574751e-09
aer_ideal,3,2026-07-12 18:44:12 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,23401.7847140546,-62831.85307179586,0.010245521497499488,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[8.639999402506783, 43.19999701253391, 215.99998506266957]","[5.0, 10.0, 20.0]",0.7145941891514789,0.06307230589525029,7.491367606574751e-09
aer_ideal,4,2026-07-12 18:44:12 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,5,2026-07-12 18:44:13 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,6,2026-07-12 18:44:13 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,7,2026-07-12 18:44:13 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,8,2026-07-12 18:44:14 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,9,2026-07-12 18:44:14 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,10,2026-07-12 18:44:15 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,11,2026-07-12 18:44:15 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
