arch,T1_true,T1_rec,T1_sig,T2_true,T2_rec,T2_sig,T2_ramsey_rec,T2_ramsey_sig,T2_echo_rec,T2_echo_sig,dw_true,dw_rec,dw_sig,eps_true,eps_rec,eps_sig,t1_chi2,ramsey_chi2,gate_chi2,echo_chi2
superconducting,0.00021702954457239628,0.0002518526385497931,4.518816297838034e-06,5.289948152262639e-05,4.834466326700657e-05,1.9430080014110926e-06,5.2129021565108804e-05,2.783286111153858e-06,4.474718952609826e-05,2.713691939534427e-06,30134.22779866055,30555.526657257946,2073.9346524431453,0.0001332121536379657,0.0001219500343557868,9.154583137282308e-06,5.8161972174793934,0.9873063979747998,1.5154554161396576,0.44239376920787693
superconducting,8.23079037999845e-05,7.813399809873707e-05,3.6832372027562766e-06,8.287658627379276e-05,8.406781032581824e-05,3.78210165892576e-06,9.150041269256209e-05,4.676553218457082e-06,7.639010400356534e-05,5.392615016271759e-06,30898.993336621585,31614.715994908336,1243.5051260718287,0.00016592143316972996,0.00016793054105835177,1.214070302141366e-05,0.72576796026135,1.2872309546028515,0.9824897304918014,0.030789497323037603
superconducting,0.00023145802536895247,0.00020599237463215614,9.540566033386276e-06,0.00012305267550111678,0.00011919735608457252,5.360505946813457e-06,0.00011767881768038508,5.582926166638709e-06,0.00013712443500127596,1.0669730064754572e-05,19546.819154487166,19413.95647270774,900.746145712242,0.0006091907870935991,0.0005807164492150106,4.2911666508386774e-05,1.6196689876283221,0.5360248070903897,0.05845153392034618,3.2322180763912454
superconducting,9.842884614481859e-05,9.074777143158359e-05,4.153594870610632e-06,8.76887765400849e-05,7.642114692999152e-05,3.2115885012027386e-06,7.615297675947984e-05,4.047479996089773e-06,7.687699430252705e-05,5.277025646875584e-06,27649.635352870344,28448.934984387957,1213.2977100713917,0.0011659268911418312,0.001019684163603841,7.799309586125986e-05,0.9660484422271033,0.7531663597381331,0.6591137623462375,0.81535312649143
superconducting,0.00034386710223295716,0.0003634262961117546,1.625210533801588e-05,3.978420316481706e-05,4.941010987184751e-05,2.3874808760339157e-06,4.90821122974072e-05,2.5718444610420814e-06,4.9974297218295175e-05,3.937603885319826e-06,71658.61711465355,71265.36854808197,2601.4824798885356,0.00011267516001529996,0.00011861820290059686,8.557312910754885e-06,0.9667187170428135,1.362768041608673,0.6272910242825347,0.8958002499266566
superconducting,0.00019961482363475266,0.0002049461161478249,9.858074169059354e-06,7.59572092186204e-05,8.612863566374485e-05,3.2765718640720233e-06,8.56745914573103e-05,3.1381725993444494e-06,8.698914025690963e-05,5.575181172162705e-06,22035.377550110305,20691.198273023318,1478.9322435131376,0.0002321436950585421,0.00024507480681629766,1.745983814062937e-05,0.2538905097902133,1.665364348566682,0.37470284452594504,0.4151051200526833
superconducting,0.00035926490640698314,0.000287175758581041,1.4040223951417025e-05,0.00015582877759185056,0.00016358917468741385,8.610462870141012e-06,0.00017441478581647758,8.90549131586592e-06,0.00015756524195878336,1.0742227884577285e-05,29168.90829850639,28403.24706942014,663.4554270844325,0.0011109088953785845,0.0011811634795220432,8.39202578447389e-05,0.9447400229356278,2.6148408601913284,0.2936223239799387,0.09157945443497588
superconducting,0.0003501301947994322,0.0004047385098090977,1.7971054715589835e-05,5.381170005455879e-05,5.0126562785046885e-05,1.7931228358730838e-06,5.077929351291194e-05,2.682441276820944e-06,4.959927336172887e-05,1.673517292665087e-06,75731.37510084047,75147.27564779956,2186.221893737326,0.0006256398249732617,0.0006402526384401363,4.61243013974924e-05,0.37523934590919183,0.8371737555760532,2.897375877170783,2.075463213050768
superconducting,0.00013457029252744897,0.0001542650774938839,6.336311905063426e-06,4.734534678731613e-05,5.2026964948928676e-05,2.1982992014927544e-06,5.1217066584849506e-05,2.6078448875455986e-06,5.3815335552975473e-05,3.9374367867555915e-06,81277.95898856159,82045.68813076406,2122.648813231425,0.00029403455832881166,0.00033952093731464084,2.3520158612741517e-05,0.3232111726211685,1.032373089484227,0.8477721293574926,0.48031868000572786
superconducting,0.00024776645128257404,0.00024369208778197464,1.1219557612012091e-05,0.0001256955746342375,0.000119120320370603,4.5123750431791165e-06,0.00010987530132149139,4.3956369192991116e-06,0.00012506572620480562,5.7841060114765485e-06,34900.33024080129,36212.58526571986,995.6333751283563,0.0002579122189235348,0.00024211501442100489,1.7997334810164982e-05,2.9992800405720907,2.6924966328443305,0.06725882113725015,0.24607001983300114
