architecture,noise_class,amplitude,instance_idx,seed,t1,ramsey,echo,gate
neutral_atom,t1_telegraph,0.2,7,77141307,0.4803004500852748,10.811148056579508,0.5083821357327469,0.0301899757421241
neutral_atom,t1_telegraph,0.2,8,77141308,6.728762167616615,0.7294833521937159,1.6882049384885516,0.6531937678652899
neutral_atom,t1_telegraph,0.2,9,77141309,0.5534038215012924,0.11878727120506472,0.6283925695309666,0.2595510840916493
neutral_atom,t1_telegraph,0.2,10,77141310,0.2844713269157934,4.869237392351047,3.0368208595681745,0.5625067147777825
neutral_atom,t1_telegraph,0.2,11,77141311,3.3085746634596336,10.34240883091191,0.050024899636629754,1.2555464141687143
neutral_atom,t1_telegraph,0.2,12,77141312,2.120515845151498,1.9216193160903376,2.219148421521187,2.5694770805709553
neutral_atom,t1_telegraph,0.2,13,77141313,0.06373096429701042,4.35959411636445,0.2501848185036945,0.28987856208765317
neutral_atom,t1_telegraph,0.2,14,77141314,0.31975120297326404,12.13905808566253,0.04862664481985622,1.5623843878808876
neutral_atom,t1_telegraph,0.2,15,77141315,2.358410368001885,0.9706967267126053,0.969216909273073,0.2512646421679043
neutral_atom,t1_telegraph,0.2,16,77141316,0.02026427912243482,9.850219918308174,0.45024047461588645,0.08253047611401343
neutral_atom,t1_telegraph,0.2,17,77141317,0.607619159003253,0.7343784560286987,3.289651794528835,2.693256440101051
neutral_atom,t1_telegraph,0.2,18,77141318,0.28826083584840095,0.2627967488732046,0.7454358379825512,0.7668812088017952
neutral_atom,t1_telegraph,0.2,19,77141319,0.9193778585351733,3.2535692590191267,3.679731111388506,0.018580101036956124
neutral_atom,t1_telegraph,0.3,0,77141400,0.689371036806345,0.82083799862438,0.4807173626408714,2.2055701890834003
neutral_atom,t1_telegraph,0.3,1,77141401,1.3708486659368466,0.46564364634884814,0.2642488826479803,0.161909271061677
neutral_atom,t1_telegraph,0.3,2,77141402,0.3292537787551332,1.807002726200431,0.3766830622520144,0.1357596207144553
neutral_atom,t1_telegraph,0.3,3,77141403,0.5211229902517065,1.4458441710873717,0.23245223127310538,0.27842226094045847
neutral_atom,t1_telegraph,0.3,4,77141404,2.3604159676869907,0.2186929419612061,1.2781570572771452,3.917208637141118
neutral_atom,t1_telegraph,0.3,5,77141405,0.28056449750925744,1.9343628839176048,4.41726181545853,0.5162179124411059
neutral_atom,t1_telegraph,0.3,6,77141406,1.9371916896482544,1.2076692068671495,1.2445482338386988,1.3441616555287828
neutral_atom,t1_telegraph,0.3,7,77141407,0.3479835674509345,11.834170191945578,0.7462233431522468,1.6183067611623017
neutral_atom,t1_telegraph,0.3,8,77141408,4.632688670244342,0.553906799143448,4.529478188841033,2.42415125422891
neutral_atom,t1_telegraph,0.3,9,77141409,0.27092588043782106,0.45742856461570486,0.3269129161524186,1.143830497288108
neutral_atom,t1_telegraph,0.3,10,77141410,0.9805493948310854,3.323537546374946,2.7137152533392297,1.367809963563938
neutral_atom,t1_telegraph,0.3,11,77141411,0.9500529397480856,0.9152266577278132,0.5734667855014581,0.21482439556693872
neutral_atom,t1_telegraph,0.3,12,77141412,0.01673935703220752,0.6716659147263047,2.6700558425088374,0.26945030799729636
neutral_atom,t1_telegraph,0.3,13,77141413,3.0584961407106515,0.5206140305096751,2.0316207511929942,2.5230691399963985
neutral_atom,t1_telegraph,0.3,14,77141414,0.8348039348599657,5.239894365983909,2.612785365535744,0.21323180848582016
neutral_atom,t1_telegraph,0.3,15,77141415,0.03429220252704264,1.1834910338740197,1.5524961546518905,0.49570455047040196
neutral_atom,t1_telegraph,0.3,16,77141416,1.598489141842101,1.2110397256402814,0.46059405107251083,0.7991023463011868
neutral_atom,t1_telegraph,0.3,17,77141417,1.5598300847430464,2.1875883229538253,1.5750298470629094,0.03270956006411006
neutral_atom,t1_telegraph,0.3,18,77141418,1.624777238901307,9.428013735858782,0.901570341159964,0.3188053495147168
neutral_atom,t1_telegraph,0.3,19,77141419,0.17429484629726213,0.9470845641945989,0.45941474502605256,0.13231365700038608
neutral_atom,t1_telegraph,0.4,0,77141500,3.7372123560295605,0.36832313446292375,0.6836753962097372,3.1894930113964666
neutral_atom,t1_telegraph,0.4,1,77141501,0.2844712182060451,17.89605189175078,29.0534316970054,0.45612633865366026
neutral_atom,t1_telegraph,0.4,2,77141502,0.9751526381277449,1.641851746761813,0.17654986747582335,1.2996376772609781
neutral_atom,t1_telegraph,0.4,3,77141503,0.2845467714710863,1.363916583461474,5.28413747633014,3.581318557397301
neutral_atom,t1_telegraph,0.4,4,77141504,1.159430355317713,0.40124721104078453,0.07898978786028338,1.8504306517106048
neutral_atom,t1_telegraph,0.4,5,77141505,3.296528000613804,3.545916186445228,0.09231343359420405,1.1006872754276715
neutral_atom,t1_telegraph,0.4,6,77141506,0.364121459540367,1.0314021872031058,0.24236531387660556,0.8635742341074429
neutral_atom,t1_telegraph,0.4,7,77141507,1.2458448053462055,3.350833164757007,5.828265874767014,2.5523153488136163
neutral_atom,t1_telegraph,0.4,8,77141508,3.5475227954160755,0.27571991916339395,1.8553688259794692,0.5077906294000742
neutral_atom,t1_telegraph,0.4,9,77141509,1.400091415941631,0.2098412007625882,1.0144423605609227,0.3097598280578659
neutral_atom,t1_telegraph,0.4,10,77141510,1.29384255618517,1.5084746551834616,0.17831293451231434,0.717806056343716
neutral_atom,t1_telegraph,0.4,11,77141511,0.7230417951836403,13.874365296989316,3.9291214528731135,1.0223216360716914
neutral_atom,t1_telegraph,0.4,12,77141512,0.7977180037221971,3.83288230269359,0.7039360245414836,0.1776669834167778
neutral_atom,t1_telegraph,0.4,13,77141513,1.4077609813694518,0.9089063782156769,0.08318905480110603,0.2053443183153595
neutral_atom,t1_telegraph,0.4,14,77141514,0.13897979833750101,1.6488702820295589,0.4399161085122859,0.011577655994342864
neutral_atom,t1_telegraph,0.4,15,77141515,0.4344567442971614,8.625823663679,0.10735499838028657,1.9430306282416223
neutral_atom,t1_telegraph,0.4,16,77141516,0.01676477816532335,2.7510879741202543,1.2258239150001837,0.18976716363402601
neutral_atom,t1_telegraph,0.4,17,77141517,0.606417120680596,0.22767595536176694,0.4833088907105758,1.7023181752537853
neutral_atom,t1_telegraph,0.4,18,77141518,1.2874983825333026,8.341144867307928,0.2240866958047355,0.28761938762076456
neutral_atom,t1_telegraph,0.4,19,77141519,3.277547463258256,8.129450171085857,1.0156497821859258,0.32314273156199225
neutral_atom,t1_telegraph,0.55,0,77141600,1.7997024581847672,0.5296915221594647,0.05004389961254496,0.5017742031525632
neutral_atom,t1_telegraph,0.55,1,77141601,1.589489930367405,0.20415210214848792,1.3605207388779876,3.5627520760019795
neutral_atom,t1_telegraph,0.55,2,77141602,1.3330870582895704,1.1581706801121452,0.9731028832727023,0.39778537386623347
neutral_atom,t1_telegraph,0.55,3,77141603,2.7106961169869184,1.3609446968046264,0.37338492763316844,0.40052155226056385
neutral_atom,t1_telegraph,0.55,4,77141604,3.40421778482147,1.3414648163705913,1.1953382838794429,0.5030051907174637
neutral_atom,t1_telegraph,0.55,5,77141605,0.28056449750925744,0.5534175054972119,1.707126416372377,1.3672096580207187
neutral_atom,t1_telegraph,0.55,6,77141606,0.03469831940082753,9.199832722928017,1.3793824127563044,0.6975608384865385
neutral_atom,t1_telegraph,0.55,7,77141607,0.4109034184794452,7.770137549394145,2.1204101464650753,0.5206317964652527
neutral_atom,t1_telegraph,0.55,8,77141608,0.4834558221580432,3.875930442120488,0.761218927547536,0.6835498503464412
neutral_atom,t1_telegraph,0.55,9,77141609,1.1060617352342133,2.0792592447459057,0.24277158102239507,2.1012727898825756
neutral_atom,t1_telegraph,0.55,10,77141610,2.7106961169869184,4.180122067984143,1.411745445866243,1.231900013354052
neutral_atom,t1_telegraph,0.55,11,77141611,0.1615028114006157,3.0698341493416086,0.6503769338520959,0.7091583048950101
neutral_atom,t1_telegraph,0.55,12,77141612,2.043063098174081,1.0637944283005516,0.022606872446939947,1.361011753233472
neutral_atom,t1_telegraph,0.55,13,77141613,0.7375450069182364,3.987263538199538,0.6112518077876604,0.06960561070030365
neutral_atom,t1_telegraph,0.55,14,77141614,1.3648621694817076,1.2779204615086903,4.24944087862526,1.068458490584861
neutral_atom,t1_telegraph,0.55,15,77141615,0.888750984748684,0.4540579089122745,0.027195755081260913,1.9127325012441647
neutral_atom,t1_telegraph,0.55,16,77141616,0.35442938187827944,1.9783943995194577,1.5997584015010484,0.3931816555267962
neutral_atom,t1_telegraph,0.55,17,77141617,0.8971357126196096,0.7102160853597559,0.7517013573073066,0.30044454083007777
neutral_atom,t1_telegraph,0.55,18,77141618,0.505696083854737,10.336747980657824,0.2672789539539599,0.7279243076038671
neutral_atom,t1_telegraph,0.55,19,77141619,0.39566454465587214,7.037008851923419,0.8962217516635385,0.21598032622700788
neutral_atom,t1_telegraph,0.7,0,77141700,1.1321421139128272,2.5107264621449477,0.08454372870332567,2.5641640845703746
neutral_atom,t1_telegraph,0.7,1,77141701,0.2677575654322966,1.3227573017528513,0.9089733819386393,0.19236925312691774
neutral_atom,t1_telegraph,0.7,2,77141702,3.7090830400600137,0.452340194259239,0.1024924452596151,2.8166020749996856
neutral_atom,t1_telegraph,0.7,3,77141703,1.3721552878179581,0.9264454507277555,1.507251629299364,1.6175936535721285
neutral_atom,t1_telegraph,0.7,4,77141704,0.27828995537008977,0.21182466194294297,1.8656315807018982,5.177314811440717
neutral_atom,t1_telegraph,0.7,5,77141705,1.4425282406071265,7.067084203195958,0.2588951844165802,0.3660243339009054
neutral_atom,t1_telegraph,0.7,6,77141706,0.38514014830561316,18.645030572285208,0.12393834879111452,1.060807296366403
neutral_atom,t1_telegraph,0.7,7,77141707,4.488530714377436,17.406486515503182,2.4207948578035223,0.817284858163049
neutral_atom,t1_telegraph,0.7,8,77141708,0.6191432396251674,7.206106541366042,10.595007094501915,1.6521351662882704
neutral_atom,t1_telegraph,0.7,9,77141709,1.5742194276220587,1.004392225906506,1.49553868224735,0.1260201588269655
neutral_atom,t1_telegraph,0.7,10,77141710,2.1105774890901046,1.4533726149176183,7.257796442503624,0.24166984636636046
neutral_atom,t1_telegraph,0.7,11,77141711,4.488530714377436,2.1923483417248297,0.09123095724795105,0.972995508581783
