architecture,noise_class,amplitude,probe,mean_chi2_dof,ci_lo,ci_hi,n
neutral_atom,t1_telegraph,0.55,t1,1.160611152607533,0.7698386688313851,1.5796239191181225,20
neutral_atom,t1_telegraph,0.55,ramsey,3.108418057699417,1.924684261878039,4.446774773197022,20
neutral_atom,t1_telegraph,0.55,echo,1.0325439187762426,0.6638104069511843,1.4913008176327998,20
neutral_atom,t1_telegraph,0.55,gate,0.936323041669997,0.6284621899934579,1.3072604622540256,20
neutral_atom,t1_telegraph,0.7,t1,1.5149885597407766,0.9162377940360421,2.104201001047517,20
neutral_atom,t1_telegraph,0.7,ramsey,4.234477192613516,2.195221303909852,6.698083819587504,20
neutral_atom,t1_telegraph,0.7,echo,1.608255949331705,0.6462232679511847,2.910889591642344,20
neutral_atom,t1_telegraph,0.7,gate,1.377510609491627,0.7366190342482216,2.1590262684144585,20
neutral_atom,t1_telegraph,0.8,t1,5.9237733118252915,1.556351327548295,12.398973249100267,20
neutral_atom,t1_telegraph,0.8,ramsey,4.713514904719361,2.5478703119426784,7.390166845127985,20
neutral_atom,t1_telegraph,0.8,echo,5.0362874559118325,1.9065502339217175,8.96597515268903,20
neutral_atom,t1_telegraph,0.8,gate,1.0487950582731318,0.5657377021968665,1.600041521266594,20
neutral_atom,quasistatic_dephasing,0.0,t1,3.712084035219573,1.5064079014528715,7.324513900220403,20
neutral_atom,quasistatic_dephasing,0.0,ramsey,3.1378616865264353,1.9178785398502018,4.922191894171017,20
neutral_atom,quasistatic_dephasing,0.0,echo,1.4140660181291833,0.8890304420606774,2.139303737285453,20
neutral_atom,quasistatic_dephasing,0.0,gate,1.0395193749587077,0.6175840040294999,1.5500576437444444,20
neutral_atom,quasistatic_dephasing,0.05,t1,1.73111634067893,0.9843094214344925,2.625080463129657,20
neutral_atom,quasistatic_dephasing,0.05,ramsey,2.6847749585728407,1.478380726648928,4.18587614342415,20
neutral_atom,quasistatic_dephasing,0.05,echo,1.060379960617219,0.718594674808338,1.4145525450186713,20
neutral_atom,quasistatic_dephasing,0.05,gate,1.1527994619454822,0.8266169925647358,1.5719682695649568,20
neutral_atom,quasistatic_dephasing,0.1,t1,1.3441521148291262,0.7910100004933855,1.925751749551329,20
neutral_atom,quasistatic_dephasing,0.1,ramsey,2.7353662636058305,1.302402585037718,4.543940219857233,20
neutral_atom,quasistatic_dephasing,0.1,echo,1.1101103465600304,0.72796844647538,1.5176334674676377,20
neutral_atom,quasistatic_dephasing,0.1,gate,0.8214220572906452,0.38639085981780186,1.39265525642344,20
neutral_atom,quasistatic_dephasing,0.2,t1,2.578435081374866,1.3065571765842778,4.313147025325982,20
neutral_atom,quasistatic_dephasing,0.2,ramsey,3.123283966056012,1.4301833667480617,5.313160381162707,20
neutral_atom,quasistatic_dephasing,0.2,echo,0.9114145152484101,0.5013034059784913,1.4742604255319411,20
neutral_atom,quasistatic_dephasing,0.2,gate,1.1039996162011423,0.8137157084918242,1.3834325724015375,20
neutral_atom,quasistatic_dephasing,0.35,t1,1.989462531709334,1.1780441769552028,2.973088948859214,20
neutral_atom,quasistatic_dephasing,0.35,ramsey,2.328452969009957,1.2577001429461006,3.9874984779264837,20
neutral_atom,quasistatic_dephasing,0.35,echo,1.6316713195122154,1.1221320958207166,2.1962031714297883,20
neutral_atom,quasistatic_dephasing,0.35,gate,0.8224397193360578,0.5102614928811385,1.217043107128098,20
neutral_atom,quasistatic_dephasing,0.5,t1,0.877350016325557,0.49359850474369554,1.3699132322583232,20
neutral_atom,quasistatic_dephasing,0.5,ramsey,2.661802091176333,1.4621012109627942,4.510718452063778,20
neutral_atom,quasistatic_dephasing,0.5,echo,1.3541052084936327,0.8670982656700369,2.0593573560765956,20
neutral_atom,quasistatic_dephasing,0.5,gate,0.7982512799692911,0.5228804308316681,1.1170250878246921,20
neutral_atom,quasistatic_dephasing,0.7,t1,2.4569035387600193,1.468151214014212,3.53001107271631,20
neutral_atom,quasistatic_dephasing,0.7,ramsey,4.548898485363401,2.699993460613061,6.78737795085797,20
neutral_atom,quasistatic_dephasing,0.7,echo,1.375653735866285,0.7360108102154149,2.121529920879401,20
neutral_atom,quasistatic_dephasing,0.7,gate,0.7156569987253045,0.39420424674563825,1.0815293337745628,20
neutral_atom,quasistatic_dephasing,0.95,t1,1.4267123033159028,0.9369700689553838,2.0383919443538194,20
neutral_atom,quasistatic_dephasing,0.95,ramsey,3.71686499807197,2.5673038145826816,5.05626198676267,20
neutral_atom,quasistatic_dephasing,0.95,echo,0.7997554041979561,0.5972728892970228,1.0370653843608804,20
neutral_atom,quasistatic_dephasing,0.95,gate,1.2192256358537177,0.7998997065246162,1.6949155949501866,20
neutral_atom,quasistatic_dephasing,1.2,t1,3.086973965085303,1.6767804081933302,4.885591240842791,20
neutral_atom,quasistatic_dephasing,1.2,ramsey,6.647770472621252,4.549133571738468,9.122023833088559,20
neutral_atom,quasistatic_dephasing,1.2,echo,1.2259902083944734,0.7431273428182885,1.7621091099765065,20
neutral_atom,quasistatic_dephasing,1.2,gate,1.4320161687651143,0.9361947142671364,2.036971888773014,20
neutral_atom,coherent_gate,0.0,t1,1.7737687713973724,0.9074735789066991,2.825882123270265,20
neutral_atom,coherent_gate,0.0,ramsey,2.4021084137373094,1.0862320343240062,4.522332139279164,20
neutral_atom,coherent_gate,0.0,echo,1.1210767413991698,0.6816613832129289,1.6857297740590382,20
neutral_atom,coherent_gate,0.0,gate,1.6183209483794685,0.9696914432418253,2.3169534418979394,20
neutral_atom,coherent_gate,0.005,t1,1.1186142719357997,0.8020242550707718,1.5016135845345728,20
neutral_atom,coherent_gate,0.005,ramsey,2.0107799672826943,0.9869331301463565,3.3333666615378665,20
neutral_atom,coherent_gate,0.005,echo,1.2699519926773224,0.7964692100247691,1.8541990016459828,20
neutral_atom,coherent_gate,0.005,gate,1.0248753292534452,0.617873915259196,1.4877064191479608,20
neutral_atom,coherent_gate,0.01,t1,1.9527032753193372,1.2072150392799008,2.8465500488420066,20
neutral_atom,coherent_gate,0.01,ramsey,2.1574483360175822,1.3682614805415714,3.1170583406316346,20
neutral_atom,coherent_gate,0.01,echo,2.0529529999712968,1.153293488873199,3.1556090333539895,20
neutral_atom,coherent_gate,0.01,gate,1.5676910696637634,1.0537194464983666,2.2015329105484236,20
neutral_atom,coherent_gate,0.015,t1,1.4109809141619307,0.7016276269008044,2.5703049096411243,20
neutral_atom,coherent_gate,0.015,ramsey,1.4542734852922998,0.8747898138191288,2.149590326476964,20
neutral_atom,coherent_gate,0.015,echo,1.5276689234370493,0.7468653874392592,2.6607461951129183,20
neutral_atom,coherent_gate,0.015,gate,3.8323462734508014,2.442154310593266,5.271654826484505,20
neutral_atom,coherent_gate,0.02,t1,1.6490043577188633,1.1277993042678747,2.222856422890922,20
neutral_atom,coherent_gate,0.02,ramsey,2.6671886442117403,1.7064890410052316,3.6928855435042123,20
neutral_atom,coherent_gate,0.02,echo,1.2999064699339251,0.8139351216611932,1.8846528555400648,20
neutral_atom,coherent_gate,0.02,gate,9.831528104723485,6.241048074364819,13.648731089610502,20
neutral_atom,coherent_gate,0.03,t1,1.4466723190123454,0.5882680219578934,2.86853313940049,20
neutral_atom,coherent_gate,0.03,ramsey,3.24413151601323,1.6594120839287445,5.274842365587833,20
neutral_atom,coherent_gate,0.03,echo,1.0539261760726355,0.6678348241354859,1.5262703209582633,20
neutral_atom,coherent_gate,0.03,gate,32.1844827604816,19.56109324566412,45.33756262358079,20
neutral_atom,coherent_gate,0.045,t1,1.0730787559122832,0.808475305673726,1.3411076044576276,20
neutral_atom,coherent_gate,0.045,ramsey,3.6947294919895604,1.7631369924500415,5.997381980233015,20
neutral_atom,coherent_gate,0.045,echo,1.3841231112348287,0.8633293834339886,2.1157900262816343,20
neutral_atom,coherent_gate,0.045,gate,44.83829920811852,29.122990990596584,61.59102552278243,20
neutral_atom,coherent_gate,0.06,t1,1.3459479733311253,0.6309434640358405,2.4383147114813166,20
neutral_atom,coherent_gate,0.06,ramsey,2.3506496566526094,1.2209276359241341,3.8570605534508706,20
neutral_atom,coherent_gate,0.06,echo,1.0221283971686632,0.6236166793665757,1.5140916156357793,20
neutral_atom,coherent_gate,0.06,gate,47.025245422179644,33.75974727839446,61.063687274039644,20
neutral_atom,coherent_gate,0.08,t1,222.99573365915035,1.0546642377232551,665.6642948274633,20
neutral_atom,coherent_gate,0.08,ramsey,1.9403327429140387,0.9442544137613571,3.6362107003899826,20
neutral_atom,coherent_gate,0.08,echo,2.6805568867393452,0.9359786096079814,5.541357820268245,20
neutral_atom,coherent_gate,0.08,gate,106.97354025790987,74.12569101986871,141.76574279714387,20
superconducting,t1_telegraph,0.0,t1,1.1812337233213388,0.9348565899069985,1.4229844062660404,20
superconducting,t1_telegraph,0.0,ramsey,1.6099364915881835,1.0686391450568797,2.2550783014755447,20
superconducting,t1_telegraph,0.0,echo,0.7055465441375123,0.4766152452657275,0.9618780198681662,20
superconducting,t1_telegraph,0.0,gate,1.2668187374254407,0.818839698766524,1.7559908255551475,20
superconducting,t1_telegraph,0.05,t1,1.6210112226378548,1.1540518932373043,2.1684296589265424,20
superconducting,t1_telegraph,0.05,ramsey,1.2451256644757263,0.8811512167778468,1.6554955501837743,20
superconducting,t1_telegraph,0.05,echo,1.2382298340968927,0.7435164612008411,1.871824757458765,20
superconducting,t1_telegraph,0.05,gate,1.6196587164454292,0.9112791978536425,2.4809616762182864,20
