timestamp,F_bell,F_gate,F_coherence,mean_fidelity,mlp_prob,mlp_uncertainty,mlp_verdict,threshold_verdict,ibm_last_calibration
2026-04-16 14:51:38 UTC,0.986,0.984,0.991,0.987,7e-06,8e-06,STABLE,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 15:38:48 UTC,0.983,0.976,0.993,0.984,2e-06,2e-06,STABLE,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 15:54:02 UTC,0.986,0.971,0.988,0.981667,0.4412,0.4128,STABLE,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 16:09:15 UTC,0.984,0.968,0.986,0.979333,0.9385,0.009523,DRIFTED,DRIFTED,2026-04-16 14:44:19 UTC
2026-04-16 16:24:28 UTC,0.989,0.975,0.990,0.984667,0.000892,0.001034,STABLE,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 16:39:41 UTC,0.982,0.970,0.987,0.979667,0.8918,0.018762,DRIFTED,DRIFTED,2026-04-16 14:44:19 UTC
2026-04-16 16:54:54 UTC,0.987,0.978,0.989,0.984667,0.000423,0.000389,STABLE,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 17:10:07 UTC,0.985,0.980,0.991,0.985333,0.9173,7.9e-05,DRIFTED,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 17:25:20 UTC,0.988,0.984,0.990,0.987333,0.8842,3.8e-05,DRIFTED,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 17:40:33 UTC,0.986,0.961,0.982,0.97633,0.9561,1.8e-05,DRIFTED,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 17:55:46 UTC,0.979,0.956,0.979,0.971333,0.9297,9e-06,DRIFTED,STABLE,2026-04-16 14:44:19 UTC
2026-04-16 18:10:59 UTC,0.984,0.983,0.991,0.986,1.1e-05,1e-05,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 18:26:12 UTC,0.987,0.985,0.992,0.988,3e-06,4e-06,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 18:41:25 UTC,0.990,0.987,0.990,0.989,5e-06,5e-06,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 18:46:38 UTC,0.986,0.984,0.991,0.987,7e-06,8e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 19:01:47 UTC,0.989,0.983,0.991,0.987667,6e-06,6e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
